class,chlorophyll,biovolume
kisel,6.89999026,1.036997999
kisel,14.00003739,3.099993454
kisel,22.99990303,6.093971477
kisel,8.999958804,2.127994528
kisel,33.00008047,2.161991959
kisel,42.00001603,3.057996613
kisel,16.99994315,1.713006476
kisel,13.00000835,1.060001157
kisel,9.400002921,0.689002761
kisel,11.000052,7.686995462
kisel,49.99984973,3.021006337
kisel,40.99991527,7.898003452
kisel,37.00007723,9.928009452
kisel,17.99996836,2.240995081
kisel,6.000003185,2.143993047
kisel,25.00010438,3.994985701
kisel,10.00004907,1.220999762
kisel,16.00002044,1.886003425
kisel,36.00003822,5.860002323
kisel,42.00001603,7.622009128
kisel,23.99990807,5.483973887
kisel,2.599996243,0.219000777
kisel,63.99980267,8.316986586
kisel,44.99988796,19.37706209
kisel,139.9996608,30.96012233
kisel,22.99990303,12.82196864
kisel,23.99990807,2.623003408
kisel,12.0000402,3.299991854
kisel,65.00017746,9.659964758
kisel,79.00016966,15.79005008
kisel,150.0007059,36.82916285
kisel,47.00011272,8.783017259
kisel,133.0001159,16.65998939
kisel,6.000003185,0.82000077
kisel,5.000010438,0.370000841
kisel,24.19993628,5.62201421
kisel,86.00023252,25.08800893
kisel,22.99990303,4.096979521
kisel,21.99994603,3.063996164
kisel,5.700021803,0.440000243
kisel,11.000052,1.79000784
kisel,9.899952904,2.330004037
kisel,70.00033306,11.77996256
kisel,19.99995453,3.69001307
kisel,25.00010438,3.5259856
kisel,25.00010438,1.868003101
kisel,49.99984973,7.84596981
kisel,16.99994315,1.846995011
kisel,14.99999698,1.94299384
kisel,7.999987667,2.678990381
kisel,12.0000402,15.76196879
kisel,30.00007855,9.32295837
kisel,27.99987372,17.18402202
kisel,25.00010438,12.66205847
kisel,31.00008666,2.146996739
kisel,35.00006785,5.742990111
kisel,29.00012093,0.539997915
kisel,42.00001603,14.0579771
kisel,19.0000194,5.351998272
kisel,19.99995453,3.18798801
kisel,44.00001611,10.75800362
kisel,44.99988796,10.86199501
kisel,40.00002184,8.455017059
kisel,42.00001603,4.059987927
kisel,6.999998957,0.844998861
kisel,6.000003185,1.434993041
kisel,1,0.148999847
kisel,14.00003739,1.518996622
kisel,32.00013111,9.571979228
kisel,19.0000194,1.875002514
kisel,22.99990303,2.314005487
kisel,44.00001611,12.73800443
kisel,47.00011272,9.661027413
kisel,40.99991527,6.916016821
kisel,69.00024118,8.756007183
kisel,35.00006785,8.768975668
kisel,114.0001769,31.75912228
kisel,80.00026923,12.99701869
kisel,129.9994214,20.3379785
kisel,109.9999598,20.12695578
kisel,99.9999814,14.29100045
kisel,84.0002689,8.143010891
kisel,73.0000408,13.10901288
kisel,27.00008462,6.18798804
kisel,16.00002044,4.222004436
kisel,65.00017746,9.311963767
kisel,104.9999632,15.38803101
kisel,82.00006172,27.66394664
kisel,119.9997909,17.41897275
kisel,73.0000408,12.6909609
kisel,47.00011272,12.05199251
kisel,65.00017746,18.21508323
kisel,72.00027943,20.92992598
kisel,79.00016966,12.7460319
kisel,69.00024118,2.000005639
kisel,109.9999598,16.35101541
kisel,159.9993896,26.99603491
kisel,139.9996608,33.45395447
kisel,57.99982539,21.8700911
kisel,82.99994955,7.63001644
kisel,98.00024709,6.420012084
kisel,109.9999598,22.79998778
kisel,139.9996608,14.30000662
kisel,99.00001484,39.93008301
kisel,109.9999598,25.50003947
kisel,180.0005668,13.96703625
kisel,119.9997909,10.60504679
kisel,109.9999598,6.534984662
kisel,23.99990807,0.927001588
kisel,129.9994214,9.492006278
kisel,129.9994214,12.58694291
kisel,139.9996608,8.825983135
kisel,20.99994881,2.18599259
kisel,119.9997909,11.78703266
kisel,170.0002657,28.37901603
kisel,63.99980267,7.14598028
kisel,54.99982481,4.349017685
kisel,14.99999698,1.060001157
kisel,14.00003739,0.822004015
kisel,13.00000835,7.976023668
kisel,42.00001603,7.982007929
kisel,26.00009001,15.78894482
kisel,17.99996836,8.187020219
kisel,22.99990303,9.417974083
kisel,20.99994881,3.851990393
kisel,30.00007855,2.07199104
kisel,70.00033306,5.754027245
kisel,53.99978149,3.999982556
kisel,14.99999698,5.862991686
kisel,17.99996836,1.798998282
kisel,2.599996243,0.551998472
kisel,42.99999503,11.87398651
kisel,10.00004907,6.676006637
kisel,0.49999859,0.09599972
kisel,5.500010493,0.27099904
kisel,93.00004714,39.91092117
kisel,33.99998216,6.306999195
kisel,40.00002184,7.019977409
kisel,63.99980267,11.67500229
kisel,82.00006172,7.569976779
kisel,38.9999358,26.39989413
kisel,134.9993549,44.05989684
kisel,30.00007855,4.860007592
kisel,10.00004907,1.3499938
kisel,63.99980267,5.189980812
kisel,16.00002044,3.339997305
kisel,8.999958804,1.299994456
kisel,20.99994881,4.980000543
kisel,12.0000402,7.019977409
kisel,19.0000194,5.290009279
kisel,7.199992613,1.289997138
kisel,11.000052,9.670016347
kisel,19.0000194,3.538985131
kisel,17.99996836,3.661013421
kisel,44.00001611,6.932981836
kisel,2.999993134,0.260000948
kisel,195.0000861,20.46999182
kisel,69.00024118,15.4899279
kisel,75.00014148,2.022005822
kisel,170.0002657,28.17204009
kisel,19.0000194,3.546992282
kisel,16.99994315,2.051989889
kisel,8.999958804,1.607001468
kisel,3.400015533,0.407999227
kisel,119.9997909,8.483982721
kisel,299.9992576,40.54814364
kisel,240.0002584,26.16309945
kisel,159.9993896,28.96592097
kisel,119.9997909,12.66801104
kisel,2.999993134,0.310000924
kisel,3.999982556,0.360000449
kisel,11.000052,0.260000948
kisel,33.00008047,6.400012862
kisel,2.999993134,0.360000449
kisel,6.999998957,1.009999666
kisel,42.00001603,9.490013166
kisel,27.99987372,10.46304997
kisel,3.799995946,0.626999209
kisel,2.800001632,0.178000308
kisel,23.99990807,5.42197424
kisel,29.00012093,17.64795654
kisel,2.40000303,0.141999747
kisel,35.00006785,4.449981772
kisel,31.00008666,8.32997121
kisel,31.00008666,19.37996887
kisel,54.99982481,21.92395775
kisel,68.00015605,6.589977933
kisel,75.00014148,7.332012245
kisel,26.00009001,2.189996619
kisel,60.99976429,5.500010493
kisel,93.00004714,13.73998232
kisel,42.00001603,6.89999026
kisel,38.9999358,10.17801498
kisel,8.899988637,0.759002658
kisel,19.99995453,2.252994004
kisel,20.99994881,1.733998477
kisel,14.00003739,1.519999491
kisel,89.00032309,8.438967778
kisel,98.00024709,12.21799665
kisel,25.00010438,2.277002762
kisel,40.00002184,5.70600997
kisel,40.99991527,6.128990166
kisel,109.9999598,14.32204559
kisel,47.00011272,6.352001754
kisel,5.89998613,0.400000293
kisel,14.99999698,1.808992391
kisel,66.9998245,8.479996186
kisel,99.00001484,16.55006451
kisel,210.0005185,24.329023
kisel,129.9994214,23.40711416
kisel,37.00007723,4.44397835
kisel,124.9995328,19.89403623
kisel,48.99998539,18.05495207
kisel,68.00015605,8.912992111
kisel,47.00011272,15.77300603
kisel,36.00003822,8.697016189
kisel,56.99992773,18.01707645
kisel,47.99995148,20.42194382
kisel,47.99995148,15.42007142
kisel,31.00008666,4.071982575
kisel,51.00022273,3.633004529
kisel,29.00012093,2.296003493
kisel,79.00016966,9.533958463
kisel,42.99999503,8.330970867
kisel,21.99994603,3.456995987
kisel,69.00024118,13.20703973
kisel,230.0001589,49.14278302
kisel,150.0007059,26.83105539
kisel,66.9998245,14.82403722
kisel,9.79997662,3.100985611
bluegreen,5.000010438,5.110003044
bluegreen,6.999998957,5.65997797
bluegreen,6.999998957,4.279987119
bluegreen,7.999987667,5.262993651
bluegreen,11.000052,2.410996144
bluegreen,10.00004907,2.100992811
bluegreen,5.89998613,0.806001238
bluegreen,5.000010438,0.841003044
bluegreen,19.0000194,9.925031496
bluegreen,12.0000402,1.863991209
bluegreen,17.99996836,1.650007775
bluegreen,6.400012862,0.269001049
bluegreen,6.49998585,0.582998888
bluegreen,5.600019053,0.360000449
bluegreen,32.00013111,9.172042512
bluegreen,35.00006785,8.064970066
bluegreen,32.00013111,16.86296842
bluegreen,21.99994603,6.148019516
bluegreen,19.0000194,5.974975516
bluegreen,3.49998961,1.947000533
bluegreen,20.99994881,10.35997683
bluegreen,37.00007723,9.99604985
bluegreen,23.99990807,37.80003392
bluegreen,14.00003739,30.93103349
bluegreen,93.00004714,57.41123409
bluegreen,27.99987372,4.869980826
bluegreen,25.00010438,3.121988067
bluegreen,3.999982556,1.140001981
bluegreen,33.99998216,9.239982577
bluegreen,32.00013111,6.259998841
bluegreen,35.00006785,12.27997639
bluegreen,75.00014148,9.860037778
bluegreen,80.00026923,19.07006828
bluegreen,80.00026923,18.03005342
bluegreen,75.00014148,18.37002022
bluegreen,29.00012093,3.76000392
bluegreen,51.99980663,9.010044405
bluegreen,56.99992773,7.989993929
bluegreen,44.99988796,5.600019053
bluegreen,33.99998216,4.300021402
bluegreen,26.00009001,4.680008846
bluegreen,16.99994315,4.050012631
bluegreen,7.999987667,2.549991434
bluegreen,10.00004907,1.690002486
bluegreen,13.00000835,3.359996727
bluegreen,33.99998216,6.050010454
bluegreen,51.99980663,19.1000318
bluegreen,49.99984973,22.84997447
bluegreen,36.00003822,18.4399591
bluegreen,27.99987372,18.67993588
bluegreen,22.99990303,7.420006996
bluegreen,56.99992773,15.36005026
bluegreen,59.00015081,11.91001925
bluegreen,35.00006785,3.279988775
bluegreen,35.00006785,5.769987995
bluegreen,27.99987372,4.930004989
bluegreen,33.00008047,6.289993265
bluegreen,17.99996836,5.53001208
bluegreen,23.99990807,3.790015088
bluegreen,17.99996836,4.99002041
bluegreen,10.00004907,1.820006368
bluegreen,20.99994881,2.040000392
bluegreen,22.99990303,1.469996471
bluegreen,26.00009001,3.49998961
bluegreen,51.99980663,6.418984965
bluegreen,14.99999698,2.255992479
bluegreen,52.99989858,13.89098405
bluegreen,5.300016851,0.980002653
bluegreen,47.00011272,6.357021818
bluegreen,44.99988796,4.815019042
bluegreen,27.00008462,8.244035754
bluegreen,32.00013111,6.832973927
bluegreen,2.999993134,1.96900827
bluegreen,71.00000873,4.556979438
bluegreen,131.0003507,23.21108578
bluegreen,99.9999814,18.18796297
bluegreen,98.00024709,4.377991248
bluegreen,30.00007855,1.685007475
bluegreen,12.0000402,2.232004365
bluegreen,17.99996836,2.53499078
bluegreen,40.99991527,6.601982614
bluegreen,8.599981052,2.055008532
bluegreen,19.99995453,2.11600526
bluegreen,17.99996836,2.906995286
bluegreen,16.00002044,2.165995346
bluegreen,6.700016573,0.787997785
bluegreen,2.699995213,1.052996595
bluegreen,359.9985487,113.6996133
bluegreen,119.9997909,63.80872905
bluegreen,180.0005668,71.01421015
bluegreen,129.9994214,34.06396225
bluegreen,170.0002657,11.08895979
bluegreen,40.00002184,3.970015504
bluegreen,25.00010438,3.629990387
bluegreen,17.99996836,3.299991854
bluegreen,11.000052,1.650007775
bluegreen,220.0005398,17.20104263
bluegreen,109.9999598,8.722971952
bluegreen,55.99990532,4.152995994
bluegreen,17.99996836,3.662990902
bluegreen,107.9998675,42.11820205
bluegreen,109.9999598,29.0898699
bluegreen,127.9999662,60.84928079
bluegreen,155.0007569,60.9948845
bluegreen,95.0002953,28.19092168
bluegreen,129.9994214,36.62203103
bluegreen,155.0007569,75.0916975
bluegreen,129.9994214,60.6670065
bluegreen,109.9999598,48.60711892
bluegreen,88.00028033,42.9260986
bluegreen,134.9993549,72.73116702
bluegreen,129.9994214,45.4457815
bluegreen,109.9999598,60.82981214
bluegreen,93.00004714,62.07975939
bluegreen,68.00015605,25.6599138
bluegreen,170.0002657,34.48208797
bluegreen,48.99998539,8.501987843
bluegreen,37.00007723,6.974007335
bluegreen,460.0016148,121.2603637
bluegreen,20.99994881,14.85193263
bluegreen,55.99990532,16.03702321
bluegreen,40.00002184,23.09393433
bluegreen,340.00149,155.3902974
bluegreen,19.99995453,11.04502389
bluegreen,4.300021402,0.661000951
bluegreen,3.299991854,0.371001193
bluegreen,8.999958804,2.046006818
bluegreen,26.00009001,3.585005471
bluegreen,29.00012093,5.55500876
bluegreen,31.00008666,5.698995892
bluegreen,200.0005267,14.34497921
bluegreen,220.0005398,11.56299601
bluegreen,40.99991527,7.995029211
bluegreen,54.99982481,12.09497407
bluegreen,86.00023252,24.90603142
bluegreen,269.9994711,61.07972634
bluegreen,196.9992654,40.70984683
bluegreen,200.0005267,37.05006107
bluegreen,59.00015081,13.42904636
bluegreen,99.9999814,20.6059527
bluegreen,99.9999814,20.53703825
bluegreen,109.9999598,32.48212701
bluegreen,299.9992576,62.60530382
bluegreen,96.00017362,8.617025883
bluegreen,72.00027943,15.6129391
bluegreen,73.0000408,12.48003291
bluegreen,119.9997909,29.93295358
bluegreen,135.9993355,54.75999998
bluegreen,119.9997909,32.63384696
bluegreen,210.0005185,54.65988081
bluegreen,180.0005668,63.90004081
bluegreen,112.0001264,37.57015556
bluegreen,159.9993896,15.15105248
bluegreen,90.00002967,9.420046266
bluegreen,144.9994574,41.69494923
bluegreen,119.9997909,63.30029567
bluegreen,119.9997909,25.74988085
bluegreen,134.9993549,50.66979633
bluegreen,44.00001611,43.52998452
bluegreen,294.0000684,31.70010522
bluegreen,344.9984761,58.61027368
bluegreen,99.9999814,11.93995095
bluegreen,200.0005267,43.74205516
bluegreen,189.9992263,19.82908898
bluegreen,158.9993318,22.9099199
bluegreen,150.0007059,33.55983617
bluegreen,129.9994214,4.689987888
bluegreen,54.99982481,32.4999971
bluegreen,40.00002184,5.760014546
bluegreen,17.99996836,4.100012408
bluegreen,93.99955047,8.959997966
bluegreen,119.9997909,87.32528025
bluegreen,119.9997909,45.01879188
bluegreen,230.0001589,26.92001333
bluegreen,90.00002967,95.60642262
bluegreen,96.99990509,16.39801023
bluegreen,135.9993355,142.7692942
bluegreen,139.9996608,35.53506658
bluegreen,71.00000873,10.90498474
bluegreen,78.00009152,18.28991838
bluegreen,114.9997552,42.70986825
bluegreen,65.00017746,7.111975121
bluegreen,200.0005267,35.76107459
bluegreen,139.9996608,19.79996163
bluegreen,340.00149,110.9101041
bluegreen,139.9996608,28.30900636
bluegreen,159.9993896,23.22803606
bluegreen,198.0005879,70.62964802
bluegreen,297.998961,95.25047492
bluegreen,287.9998617,112.1402141
bluegreen,74.0003631,31.48999889
bluegreen,159.9993896,45.46987415
bluegreen,37.00007723,9.689957113
bluegreen,220.0005398,49.6918035
bluegreen,93.99955047,23.51997359
bluegreen,109.9999598,30.16191392
bluegreen,74.0003631,10.98499225
bluegreen,68.00015605,19.43800169
fure,11.000052,2.945003484
fure,14.00003739,4.167015199
fure,7.999987667,1.735004488
fure,12.0000402,2.385002088
fure,8.999958804,0.861000667
fure,6.999998957,2.420005953
fure,16.99994315,2.576005646
fure,10.00004907,2.281994862
fure,11.000052,1.821991257
fure,2.699995213,1.003997971
fure,12.0000402,5.005012949
fure,12.0000402,5.290009279
fure,14.99999698,5.540972351
fure,7.299968259,2.706997264
fure,9.700039911,2.114989822
fure,8.899988637,2.844991273
fure,6.600002316,1.79000784
fure,12.0000402,4.173020024
fure,12.0000402,3.643992787
fure,13.00000835,4.276992176
fure,14.99999698,2.468992074
fure,2.699995213,0.542997806
fure,19.0000194,6.83898959
fure,16.10001172,3.542986445
fure,3.199997409,1.625995104
fure,13.00000835,7.508982721
fure,37.00007723,17.24996303
fure,19.0000194,5.722009186
fure,14.00003739,3.095006481
fure,3.999982556,1.341005895
fure,9.199967947,2.689001674
fure,6.999998957,2.296990987
fure,7.999987667,4.449002884
fure,9.099959837,3.400015533
fure,2.000005639,1.248995964
fure,10.00004907,3.841988227
fure,12.0000402,2.804008498
fure,16.00002044,4.583990926
fure,14.99999698,5.099997247
fure,17.99996836,4.248984444
fure,5.099997247,3.138013637
fure,7.999987667,1.932008238
fure,54.99982481,10.17302897
fure,66.9998245,16.21699879
fure,79.00016966,13.09800594
fure,77.00035252,13.98996099
fure,13.00000835,3.419998115
fure,49.99984973,14.66993263
fure,18.6999341,10.87003586
fure,22.99990303,5.380008747
fure,25.00010438,4.310009033
fure,3.199997409,1.090002511
fure,65.00017746,17.45995547
fure,90.00002967,33.08996288
fure,649.9984641,239.5902086
fure,228.0009966,50.24997252
fure,127.9999662,54.67026718
fure,77.00035252,15.2799269
fure,74.0003631,23.19298819
fure,75.99974614,21.44496745
fure,159.9993896,41.84783235
fure,116.9995396,21.90401602
fure,153.000318,30.10195139
fure,42.99999503,6.244992858
fure,44.99988796,17.93098102
fure,114.9997552,38.26899353
fure,509.9996299,134.2803797
fure,275.9997611,104.4595589
fure,99.9999814,23.61896521
fure,55.99990532,13.08098959
fure,25.00010438,7.484992381
fure,80.00026923,13.66694304
fure,419.9980213,108.5803009
fure,244.000433,51.69080951
fure,119.9997909,21.88496782
fure,129.9994214,29.46608674
fure,30.00007855,14.22000819
fure,6.999998957,4.298989521
fure,38.00014593,19.5770899
